zone_id,date,event_count,event_type
Z005,2025-03-10,3.0,N
Z005,2025-03-11,9.0,N
Z005,2025-03-12,,N
Z005,2025-03-13,5.0,N
Z005,2025-03-14,,N
Z005,2025-03-15,0.0,S
Z005,2025-03-16,9.0,N
Z005,2025-03-17,7.0,N
Z005,2025-03-18,8.0,N
Z005,2025-03-19,6.0,C
Z005,2025-03-20,8.0,N
Z005,2025-03-21,5.0,C
Z005,2025-03-22,2.0,N
Z005,2025-03-23,8.0,N
Z005,2025-03-24,0.0,N
Z005,2025-03-25,0.0,N
Z005,2025-03-26,1.0,N
Z005,2025-03-27,3.0,C
Z005,2025-03-28,2.0,C
Z005,2025-03-29,0.0,N
Z005,2025-03-30,6.0,C
Z005,2025-03-31,3.0,
Z006,2025-01-01,0.0,C
Z006,2025-01-02,5.0,N
Z006,2025-01-03,5.0,C
Z006,2025-01-04,0.0,N
Z006,2025-01-05,6.0,S
Z006,2025-01-06,7.0,N
Z006,2025-01-07,4.0,N
Z006,2025-01-08,9.0,N
Z006,2025-01-09,6.0,N
Z006,2025-01-10,7.0,C
Z006,2025-01-11,6.0,C
Z006,2025-01-12,2.0,C
Z006,2025-01-13,9.0,N
Z006,2025-01-14,9.0,C
Z006,2025-01-15,1.0,S
Z006,2025-01-16,8.0,
Z006,2025-01-17,4.0,C
Z006,2025-01-18,8.0,N
Z006,2025-01-19,3.0,N
Z006,2025-01-20,0.0,N
Z006,2025-01-21,7.0,N
Z006,2025-01-22,,N
Z006,2025-01-23,3.0,C
Z006,2025-01-24,8.0,N
Z006,2025-01-25,8.0,C
Z006,2025-01-26,1.0,N
Z006,2025-01-27,0.0,N
Z006,2025-01-28,7.0,N
Z006,2025-01-29,8.0,S
Z006,2025-01-30,3.0,S
Z006,2025-01-31,0.0,N
Z006,2025-02-01,6.0,C
Z006,2025-02-02,4.0,N
Z006,2025-02-03,4.0,N
Z006,2025-02-04,,N
Z006,2025-02-05,9.0,N
Z006,2025-02-06,8.0,N
Z006,2025-02-07,6.0,N
Z006,2025-02-08,1.0,N
Z006,2025-02-09,9.0,S
Z006,2025-02-10,8.0,C
Z006,2025-02-11,3.0,C
Z006,2025-02-12,4.0,N
Z006,2025-02-13,1.0,S
Z006,2025-02-14,2.0,N
Z006,2025-02-15,,N
Z006,2025-02-16,0.0,N
Z006,2025-02-17,0.0,N
Z006,2025-02-18,0.0,C
Z006,2025-02-19,6.0,N
Z006,2025-02-20,9.0,C
Z006,2025-02-21,3.0,N
Z006,2025-02-22,3.0,C
Z006,2025-02-23,2.0,C
Z006,2025-02-24,1.0,N
Z006,2025-02-25,3.0,N
Z006,2025-02-26,,S
Z006,2025-02-27,6.0,N
Z006,2025-02-28,9.0,N
Z006,2025-03-01,5.0,S
Z006,2025-03-02,5.0,N
Z006,2025-03-03,1.0,N
Z006,2025-03-04,4.0,S
Z006,2025-03-05,9.0,N
Z006,2025-03-06,7.0,S
Z006,2025-03-07,1.0,C
Z006,2025-03-08,7.0,S
Z006,2025-03-09,8.0,C
Z006,2025-03-10,2.0,S
Z006,2025-03-11,3.0,S
Z006,2025-03-12,7.0,N
Z006,2025-03-13,1.0,S
Z006,2025-03-14,1.0,N
Z006,2025-03-15,,N
Z006,2025-03-16,1.0,C
Z006,2025-03-17,8.0,
Z006,2025-03-18,4.0,S
Z006,2025-03-19,3.0,N
Z006,2025-03-20,1.0,N
Z006,2025-03-21,1.0,N
Z006,2025-03-22,5.0,N
Z006,2025-03-23,6.0,C
Z006,2025-03-24,3.0,N
Z006,2025-03-25,6.0,
Z006,2025-03-26,0.0,N
Z006,2025-03-27,7.0,N
Z006,2025-03-28,2.0,C
Z006,2025-03-29,6.0,N
Z006,2025-03-30,6.0,N
Z006,2025-03-31,2.0,N
Z007,2025-01-01,4.0,S
Z007,2025-01-02,1.0,N
Z007,2025-01-03,,C
Z007,2025-01-04,4.0,
Z007,2025-01-05,3.0,N
Z007,2025-01-06,9.0,C
Z007,2025-01-07,2.0,N
Z007,2025-01-08,0.0,N
Z007,2025-01-09,6.0,C
Z007,2025-01-10,2.0,N
Z007,2025-01-11,9.0,N
Z007,2025-01-12,0.0,S
Z007,2025-01-13,9.0,C
Z007,2025-01-14,9.0,N
Z007,2025-01-15,7.0,C
Z007,2025-01-16,7.0,N
Z007,2025-01-17,2.0,C
Z007,2025-01-18,9.0,C
Z007,2025-01-19,2.0,N
Z007,2025-01-20,1.0,n
Z007,2025-01-21,7.0,N
Z007,2025-01-22,8.0,N
Z007,2025-01-23,3.0,N
Z007,2025-01-24,3.0,N
Z007,2025-01-25,4.0,N
Z007,2025-01-26,2.0,N
Z007,2025-01-27,4.0,N
Z007,2025-01-28,3.0,C
Z007,2025-01-29,7.0,S
Z007,2025-01-30,4.0,N
Z007,2025-01-31,6.0,N
Z007,2025-02-01,3.0,N
Z007,2025-02-02,1.0,C
Z007,2025-02-03,,N
Z007,2025-02-04,3.0,N
Z007,2025-02-05,8.0,N
Z007,2025-02-06,5.0,
Z007,2025-02-07,7.0,N
Z007,2025-02-08,8.0,N
Z007,2025-02-09,8.0,C
Z007,2025-02-10,,N
Z007,2025-02-11,6.0,C
Z007,2025-02-12,,N
Z007,2025-02-13,7.0,C
Z007,2025-02-14,6.0,N
Z007,2025-02-15,8.0,N
Z007,2025-02-16,4.0,S
Z007,2025-02-17,3.0,N
Z007,2025-02-18,1.0,S
Z007,2025-02-19,6.0,C
Z007,2025-02-20,5.0,S
Z007,2025-02-21,5.0,N
Z007,2025-02-22,9.0,S
Z007,2025-02-23,7.0,N
Z007,2025-02-24,0.0,N
Z007,2025-02-25,0.0,N
Z007,2025-02-26,3.0,C
Z007,2025-02-27,7.0,
Z007,2025-02-28,4.0,N
Z007,2025-03-01,8.0,N
Z007,2025-03-02,,N
Z007,2025-03-03,,C
Z007,2025-03-04,5.0,N
Z007,2025-03-05,3.0,N
Z007,2025-03-06,1.0,N
Z007,2025-03-07,5.0,N
Z007,2025-03-08,9.0,N
Z007,2025-03-09,2.0,
Z007,2025-03-10,7.0,N
Z007,2025-03-11,1.0,C
Z007,2025-03-12,2.0,N
Z007,2025-03-13,8.0,C
Z007,2025-03-14,1.0,N
Z007,2025-03-15,9.0,N
Z007,2025-03-16,0.0,C
Z007,2025-03-17,2.0,C
Z007,2025-03-18,9.0,
Z007,2025-03-19,5.0,C
Z007,2025-03-20,7.0,N
Z007,2025-03-21,9.0,C
Z007,2025-03-22,4.0,
Z007,2025-03-23,1.0,N
Z007,2025-03-24,7.0,N
Z007,2025-03-25,,N
Z007,2025-03-26,3.0,N
Z007,2025-03-27,8.0,N
Z007,2025-03-28,6.0,n
Z007,2025-03-29,2.0,N
Z007,2025-03-30,0.0,N
Z007,2025-03-31,5.0,C
Z008,2025-01-01,8.0,N
Z008,2025-01-02,3.0,N
Z008,2025-01-03,6.0,N
Z008,2025-01-04,2.0,N
Z008,2025-01-05,0.0,N
Z008,2025-01-06,4.0,S
Z008,2025-01-07,0.0,C
Z008,2025-01-08,1.0,N
Z008,2025-01-09,6.0,N
Z008,2025-01-10,0.0,N
Z008,2025-01-11,5.0,
Z008,2025-01-12,6.0,N
Z008,2025-01-13,3.0,N
Z008,2025-01-14,3.0,N
Z008,2025-01-15,1.0,
Z008,2025-01-16,4.0,C
Z008,2025-01-17,6.0,C
Z008,2025-01-18,3.0,N
Z008,2025-01-19,,N
Z008,2025-01-20,7.0,
Z008,2025-01-21,6.0,n
Z008,2025-01-22,2.0,
Z008,2025-01-23,9.0,N
Z008,2025-01-24,8.0,N
Z008,2025-01-25,,N
Z008,2025-01-26,9.0,N
Z008,2025-01-27,0.0,N
Z008,2025-01-28,,N
Z008,2025-01-29,6.0,N
Z008,2025-01-30,9.0,N
Z008,2025-01-31,9.0,N
Z008,2025-02-01,3.0,N
Z008,2025-02-02,4.0,N
Z008,2025-02-03,6.0,
Z008,2025-02-04,7.0,C
Z008,2025-02-05,3.0,N
Z008,2025-02-06,6.0,C
Z008,2025-02-07,5.0,N
Z008,2025-02-08,8.0,N
Z008,2025-02-09,3.0,N
Z008,2025-02-10,3.0,S
Z008,2025-02-11,2.0,C
Z008,2025-02-12,7.0,C
Z008,2025-02-13,7.0,N
Z008,2025-02-14,3.0,N
Z008,2025-02-15,2.0,N
Z008,2025-02-16,5.0,N
Z008,2025-02-17,8.0,N
Z008,2025-02-18,7.0,C
Z008,2025-02-19,6.0,N
Z008,2025-02-20,6.0,C
Z008,2025-02-21,4.0,N
Z008,2025-02-22,1.0,N
Z008,2025-02-23,8.0,n
Z008,2025-02-24,2.0,N
Z008,2025-02-25,8.0,N
Z008,2025-02-26,9.0,N
Z008,2025-02-27,1.0,C
Z008,2025-02-28,0.0,C
Z008,2025-03-01,9.0,
Z008,2025-03-02,6.0,S
Z008,2025-03-03,0.0,N
Z008,2025-03-04,7.0,N
Z008,2025-03-05,2.0,N
Z008,2025-03-06,,N
Z008,2025-03-07,8.0,N
Z008,2025-03-08,0.0,
Z008,2025-03-09,,S
Z008,2025-03-10,1.0,N
Z008,2025-03-11,2.0,n
Z008,2025-03-12,9.0,N
Z008,2025-03-13,7.0,N
Z008,2025-03-14,2.0,N
Z008,2025-03-15,1.0,N
Z008,2025-03-16,,C
Z008,2025-03-17,2.0,N
Z008,2025-03-18,7.0,N
Z008,2025-03-19,3.0,N
Z008,2025-03-20,5.0,N
Z008,2025-03-21,7.0,
Z008,2025-03-22,3.0,N
Z008,2025-03-23,4.0,N
Z008,2025-03-24,2.0,S
Z008,2025-03-25,3.0,N
Z008,2025-03-26,9.0,
Z008,2025-03-27,7.0,N
Z008,2025-03-28,6.0,
Z008,2025-03-29,5.0,S
Z008,2025-03-30,4.0,N
Z008,2025-03-31,8.0,N
Z009,2025-01-01,3.0,N
Z009,2025-01-02,2.0,N
Z009,2025-01-03,5.0,N
Z009,2025-01-04,1.0,C
Z009,2025-01-05,8.0,
Z009,2025-01-06,5.0,N
Z009,2025-01-07,,N
Z009,2025-01-08,1.0,N
Z009,2025-01-09,8.0,
Z009,2025-01-10,9.0,C
Z009,2025-01-11,2.0,N
Z009,2025-01-12,5.0,N
Z009,2025-01-13,8.0,S
Z009,2025-01-14,2.0,N
Z009,2025-01-15,8.0,C
Z009,2025-01-16,1.0,N
Z009,2025-01-17,3.0,N
Z009,2025-01-18,9.0,C
Z009,2025-01-19,2.0,N
Z009,2025-01-20,6.0,N
Z009,2025-01-21,3.0,N
Z009,2025-01-22,3.0,n
Z009,2025-01-23,,C
Z009,2025-01-24,9.0,C
Z009,2025-01-25,2.0,N
Z009,2025-01-26,4.0,N
Z009,2025-01-27,4.0,N
Z009,2025-01-28,3.0,C
Z009,2025-01-29,6.0,N
Z009,2025-01-30,9.0,N
Z009,2025-01-31,9.0,N
Z009,2025-02-01,3.0,N
Z009,2025-02-02,6.0,N
Z009,2025-02-03,5.0,N
Z009,2025-02-04,5.0,N
Z009,2025-02-05,,C
Z009,2025-02-06,7.0,C
Z009,2025-02-07,8.0,C
Z009,2025-02-08,,
Z009,2025-02-09,5.0,N
Z009,2025-02-10,4.0,N
Z009,2025-02-11,0.0,N
Z009,2025-02-12,2.0,N
Z009,2025-02-13,7.0,N
Z009,2025-02-14,0.0,N
Z009,2025-02-15,0.0,N
Z009,2025-02-16,7.0,C
Z009,2025-02-17,6.0,N
Z009,2025-02-18,1.0,N
Z009,2025-02-19,5.0,N
Z009,2025-02-20,8.0,N
Z009,2025-02-21,7.0,N
Z009,2025-02-22,5.0,N
Z009,2025-02-23,1.0,N
Z009,2025-02-24,2.0,N
Z009,2025-02-25,,S
Z009,2025-02-26,8.0,C
Z009,2025-02-27,8.0,N
Z009,2025-02-28,,N
Z009,2025-03-01,4.0,N
Z009,2025-03-02,7.0,C
Z009,2025-03-03,2.0,C
Z009,2025-03-04,8.0,N
Z009,2025-03-05,4.0,S
Z009,2025-03-06,8.0,N
Z009,2025-03-07,9.0,C
Z009,2025-03-08,8.0,N
Z009,2025-03-09,,N
Z009,2025-03-10,1.0,C
Z009,2025-03-11,6.0,S
Z009,2025-03-12,0.0,N
Z009,2025-03-13,6.0,N
Z009,2025-03-14,0.0,C
Z009,2025-03-15,4.0,N
Z009,2025-03-16,0.0,N
Z009,2025-03-17,7.0,N
Z009,2025-03-18,0.0,S
Z009,2025-03-19,,N
Z009,2025-03-20,0.0,N
Z009,2025-03-21,1.0,C
Z009,2025-03-22,3.0,N
Z009,2025-03-23,7.0,
Z009,2025-03-24,2.0,N
Z009,2025-03-25,7.0,C
Z009,2025-03-26,6.0,N
Z009,2025-03-27,5.0,n
Z009,2025-03-28,9.0,C
Z009,2025-03-29,0.0,C
Z009,2025-03-30,5.0,
Z009,2025-03-31,5.0,N
Z010,2025-01-01,9.0,N
Z010,2025-01-02,7.0,S
Z010,2025-01-03,5.0,
Z010,2025-01-04,1.0,N
Z010,2025-01-05,9.0,N
Z010,2025-01-06,2.0,N
Z010,2025-01-07,1.0,N
Z010,2025-01-08,2.0,N
Z010,2025-01-09,0.0,
Z010,2025-01-10,6.0,N
Z010,2025-01-11,4.0,S
Z010,2025-01-12,,N
Z010,2025-01-13,6.0,N
Z010,2025-01-14,0.0,N
Z010,2025-01-15,0.0,C
Z010,2025-01-16,1.0,C
Z010,2025-01-17,6.0,N
Z010,2025-01-18,,N
Z010,2025-01-19,8.0,N
Z010,2025-01-20,2.0,S
Z010,2025-01-21,2.0,
Z010,2025-01-22,7.0,
Z010,2025-01-23,5.0,N
Z010,2025-01-24,2.0,N
Z010,2025-01-25,,C
