zone_id,date,traffic_congestion
Z003,2025-03-09,L
Z003,2025-03-10,L
Z003,2025-03-11,L
Z003,2025-03-12,H
Z003,2025-03-13,L
Z003,2025-03-14,L
Z003,2025-03-15,H
Z003,2025-03-16,H
Z003,2025-03-17,H
Z003,2025-03-18,L
Z003,2025-03-19,M
Z003,2025-03-20,L
Z003,2025-03-21,M
Z003,2025-03-22,L
Z003,2025-03-23,h
Z003,2025-03-24,
Z003,2025-03-25,H
Z003,2025-03-26,M
Z003,2025-03-27,L
Z003,2025-03-28,M
Z003,2025-03-29,H
Z003,2025-03-30,
Z003,2025-03-31,M
Z004,2025-01-01,L
Z004,2025-01-02,
Z004,2025-01-03,L
Z004,2025-01-04,M
Z004,2025-01-05,L
Z004,2025-01-06,M
Z004,2025-01-07,H
Z004,2025-01-08,L
Z004,2025-01-09,M
Z004,2025-01-10,M
Z004,2025-01-11,L
Z004,2025-01-12,L
Z004,2025-01-13,L
Z004,2025-01-14,M
Z004,2025-01-15,L
Z004,2025-01-16,H
Z004,2025-01-17,M
Z004,2025-01-18,H
Z004,2025-01-19,
Z004,2025-01-20,H
Z004,2025-01-21,H
Z004,2025-01-22,H
Z004,2025-01-23,L
Z004,2025-01-24,H
Z004,2025-01-25,M
Z004,2025-01-26,M
Z004,2025-01-27,M
Z004,2025-01-28,M
Z004,2025-01-29,L
Z004,2025-01-30,H
Z004,2025-01-31,L
Z004,2025-02-01,h
Z004,2025-02-02,L
Z004,2025-02-03,M
Z004,2025-02-04,M
Z004,2025-02-05,L
Z004,2025-02-06,L
Z004,2025-02-07,H
Z004,2025-02-08,M
Z004,2025-02-09,L
Z004,2025-02-10,M
Z004,2025-02-11,H
Z004,2025-02-12,H
Z004,2025-02-13,H
Z004,2025-02-14,M
Z004,2025-02-15,L
Z004,2025-02-16,L
Z004,2025-02-17,M
Z004,2025-02-18,M
Z004,2025-02-19,L
Z004,2025-02-20,
Z004,2025-02-21,M
Z004,2025-02-22,L
Z004,2025-02-23,M
Z004,2025-02-24,H
Z004,2025-02-25,
Z004,2025-02-26,H
Z004,2025-02-27,M
Z004,2025-02-28,H
Z004,2025-03-01,L
Z004,2025-03-02,M
Z004,2025-03-03,L
Z004,2025-03-04,H
Z004,2025-03-05,M
Z004,2025-03-06,L
Z004,2025-03-07,H
Z004,2025-03-08,M
Z004,2025-03-09,L
Z004,2025-03-10,L
Z004,2025-03-11,H
Z004,2025-03-12,H
Z004,2025-03-13,L
Z004,2025-03-14,L
Z004,2025-03-15,M
Z004,2025-03-16,H
Z004,2025-03-17,H
Z004,2025-03-18,M
Z004,2025-03-19,
Z004,2025-03-20,L
Z004,2025-03-21,L
Z004,2025-03-22,l
Z004,2025-03-23,
Z004,2025-03-24,M
Z004,2025-03-25,H
Z004,2025-03-26,M
Z004,2025-03-27,M
Z004,2025-03-28,L
Z004,2025-03-29,H
Z004,2025-03-30,H
Z004,2025-03-31,H
Z005,2025-01-01,H
Z005,2025-01-02,H
Z005,2025-01-03,L
Z005,2025-01-04,M
Z005,2025-01-05,M
Z005,2025-01-06,L
Z005,2025-01-07,H
Z005,2025-01-08,H
Z005,2025-01-09,L
Z005,2025-01-10,M
Z005,2025-01-11,L
Z005,2025-01-12,L
Z005,2025-01-13,M
Z005,2025-01-14,H
Z005,2025-01-15,M
Z005,2025-01-16,L
Z005,2025-01-17,L
Z005,2025-01-18,M
Z005,2025-01-19,H
Z005,2025-01-20,H
Z005,2025-01-21,H
Z005,2025-01-22,L
Z005,2025-01-23,M
Z005,2025-01-24,M
Z005,2025-01-25,m
Z005,2025-01-26,L
Z005,2025-01-27,M
Z005,2025-01-28,H
Z005,2025-01-29,M
Z005,2025-01-30,L
Z005,2025-01-31,H
Z005,2025-02-01,M
Z005,2025-02-02,L
Z005,2025-02-03,M
Z005,2025-02-04,L
Z005,2025-02-05,M
Z005,2025-02-06,M
Z005,2025-02-07,M
Z005,2025-02-08,L
Z005,2025-02-09,H
Z005,2025-02-10,H
Z005,2025-02-11,M
Z005,2025-02-12,L
Z005,2025-02-13,L
Z005,2025-02-14,M
Z005,2025-02-15,H
Z005,2025-02-16,L
Z005,2025-02-17,
Z005,2025-02-18,L
Z005,2025-02-19,M
Z005,2025-02-20,
Z005,2025-02-21,H
Z005,2025-02-22,H
Z005,2025-02-23,L
Z005,2025-02-24,L
Z005,2025-02-25,L
Z005,2025-02-26,M
Z005,2025-02-27,L
Z005,2025-02-28,H
Z005,2025-03-01,M
Z005,2025-03-02,M
Z005,2025-03-03,M
Z005,2025-03-04,H
Z005,2025-03-05,M
Z005,2025-03-06,L
Z005,2025-03-07,L
Z005,2025-03-08,L
Z005,2025-03-09,M
Z005,2025-03-10,
Z005,2025-03-11,
Z005,2025-03-12,L
Z005,2025-03-13,L
Z005,2025-03-14,H
Z005,2025-03-15,L
Z005,2025-03-16,H
Z005,2025-03-17,L
Z005,2025-03-18,M
Z005,2025-03-19,L
Z005,2025-03-20,M
Z005,2025-03-21,L
Z005,2025-03-22,L
Z005,2025-03-23,H
Z005,2025-03-24,M
Z005,2025-03-25,
Z005,2025-03-26,L
Z005,2025-03-27,H
Z005,2025-03-28,M
Z005,2025-03-29,M
Z005,2025-03-30,L
Z005,2025-03-31,
Z006,2025-01-01,H
Z006,2025-01-02,M
Z006,2025-01-03,L
Z006,2025-01-04,L
Z006,2025-01-05,M
Z006,2025-01-06,M
Z006,2025-01-07,M
Z006,2025-01-08,L
Z006,2025-01-09,M
Z006,2025-01-10,M
Z006,2025-01-11,
Z006,2025-01-12,H
Z006,2025-01-13,L
Z006,2025-01-14,M
Z006,2025-01-15,L
Z006,2025-01-16,L
Z006,2025-01-17,H
Z006,2025-01-18,H
Z006,2025-01-19,H
Z006,2025-01-20,L
Z006,2025-01-21,M
Z006,2025-01-22,M
Z006,2025-01-23,M
Z006,2025-01-24,L
Z006,2025-01-25,H
Z006,2025-01-26,M
Z006,2025-01-27,M
Z006,2025-01-28,M
Z006,2025-01-29,M
Z006,2025-01-30,M
Z006,2025-01-31,M
Z006,2025-02-01,L
Z006,2025-02-02,L
Z006,2025-02-03,M
Z006,2025-02-04,M
Z006,2025-02-05,M
Z006,2025-02-06,L
Z006,2025-02-07,H
Z006,2025-02-08,M
Z006,2025-02-09,H
Z006,2025-02-10,h
Z006,2025-02-11,L
Z006,2025-02-12,
Z006,2025-02-13,M
Z006,2025-02-14,L
Z006,2025-02-15,
Z006,2025-02-16,L
Z006,2025-02-17,L
Z006,2025-02-18,L
Z006,2025-02-19,M
Z006,2025-02-20,M
Z006,2025-02-21,M
Z006,2025-02-22,M
Z006,2025-02-23,H
Z006,2025-02-24,
Z006,2025-02-25,M
Z006,2025-02-26,L
Z006,2025-02-27,M
Z006,2025-02-28,H
Z006,2025-03-01,H
Z006,2025-03-02,M
Z006,2025-03-03,L
Z006,2025-03-04,M
Z006,2025-03-05,M
Z006,2025-03-06,M
Z006,2025-03-07,
Z006,2025-03-08,H
Z006,2025-03-09,H
Z006,2025-03-10,H
Z006,2025-03-11,M
Z006,2025-03-12,L
Z006,2025-03-13,L
Z006,2025-03-14,H
Z006,2025-03-15,M
Z006,2025-03-16,H
Z006,2025-03-17,M
Z006,2025-03-18,M
Z006,2025-03-19,M
Z006,2025-03-20,H
Z006,2025-03-21,L
Z006,2025-03-22,H
Z006,2025-03-23,H
Z006,2025-03-24,L
Z006,2025-03-25,M
Z006,2025-03-26,L
Z006,2025-03-27,H
Z006,2025-03-28,L
Z006,2025-03-29,
Z006,2025-03-30,M
Z006,2025-03-31,H
Z007,2025-01-01,H
Z007,2025-01-02,H
Z007,2025-01-03,M
Z007,2025-01-04,M
Z007,2025-01-05,L
Z007,2025-01-06,M
Z007,2025-01-07,L
Z007,2025-01-08,
Z007,2025-01-09,M
Z007,2025-01-10,M
Z007,2025-01-11,M
Z007,2025-01-12,L
Z007,2025-01-13,M
Z007,2025-01-14,H
Z007,2025-01-15,H
Z007,2025-01-16,M
Z007,2025-01-17,M
Z007,2025-01-18,L
Z007,2025-01-19,M
Z007,2025-01-20,M
Z007,2025-01-21,L
Z007,2025-01-22,L
Z007,2025-01-23,L
Z007,2025-01-24,
Z007,2025-01-25,L
Z007,2025-01-26,L
Z007,2025-01-27,L
Z007,2025-01-28,M
Z007,2025-01-29,l
Z007,2025-01-30,H
Z007,2025-01-31,L
Z007,2025-02-01,L
Z007,2025-02-02,M
Z007,2025-02-03,M
Z007,2025-02-04,M
Z007,2025-02-05,L
Z007,2025-02-06,L
Z007,2025-02-07,M
Z007,2025-02-08,
Z007,2025-02-09,M
Z007,2025-02-10,H
Z007,2025-02-11,L
Z007,2025-02-12,M
Z007,2025-02-13,M
Z007,2025-02-14,M
Z007,2025-02-15,M
Z007,2025-02-16,M
Z007,2025-02-17,L
Z007,2025-02-18,H
Z007,2025-02-19,L
Z007,2025-02-20,M
Z007,2025-02-21,H
Z007,2025-02-22,M
Z007,2025-02-23,L
Z007,2025-02-24,L
Z007,2025-02-25,M
Z007,2025-02-26,L
Z007,2025-02-27,H
Z007,2025-02-28,L
Z007,2025-03-01,L
Z007,2025-03-02,M
Z007,2025-03-03,M
Z007,2025-03-04,H
Z007,2025-03-05,L
Z007,2025-03-06,L
Z007,2025-03-07,M
Z007,2025-03-08,L
Z007,2025-03-09,L
Z007,2025-03-10,L
Z007,2025-03-11,M
Z007,2025-03-12,M
Z007,2025-03-13,L
Z007,2025-03-14,H
Z007,2025-03-15,M
Z007,2025-03-16,M
Z007,2025-03-17,L
Z007,2025-03-18,L
Z007,2025-03-19,M
Z007,2025-03-20,L
Z007,2025-03-21,M
Z007,2025-03-22,M
Z007,2025-03-23,M
Z007,2025-03-24,M
Z007,2025-03-25,M
Z007,2025-03-26,H
Z007,2025-03-27,M
Z007,2025-03-28,L
Z007,2025-03-29,M
Z007,2025-03-30,L
Z007,2025-03-31,H
Z008,2025-01-01,L
Z008,2025-01-02,L
Z008,2025-01-03,M
Z008,2025-01-04,
Z008,2025-01-05,H
Z008,2025-01-06,
Z008,2025-01-07,M
Z008,2025-01-08,L
Z008,2025-01-09,L
Z008,2025-01-10,H
Z008,2025-01-11,L
Z008,2025-01-12,L
Z008,2025-01-13,L
Z008,2025-01-14,M
Z008,2025-01-15,M
Z008,2025-01-16,
Z008,2025-01-17,H
Z008,2025-01-18,M
Z008,2025-01-19,L
Z008,2025-01-20,L
Z008,2025-01-21,H
Z008,2025-01-22,H
Z008,2025-01-23,L
Z008,2025-01-24,
Z008,2025-01-25,H
Z008,2025-01-26,H
Z008,2025-01-27,L
Z008,2025-01-28,M
Z008,2025-01-29,L
Z008,2025-01-30,H
Z008,2025-01-31,L
Z008,2025-02-01,M
Z008,2025-02-02,L
Z008,2025-02-03,M
Z008,2025-02-04,H
Z008,2025-02-05,M
Z008,2025-02-06,M
Z008,2025-02-07,H
Z008,2025-02-08,L
Z008,2025-02-09,L
Z008,2025-02-10,L
Z008,2025-02-11,L
Z008,2025-02-12,L
Z008,2025-02-13,h
Z008,2025-02-14,L
Z008,2025-02-15,
Z008,2025-02-16,M
Z008,2025-02-17,M
Z008,2025-02-18,H
Z008,2025-02-19,M
Z008,2025-02-20,L
Z008,2025-02-21,H
Z008,2025-02-22,L
Z008,2025-02-23,M
Z008,2025-02-24,H
Z008,2025-02-25,L
Z008,2025-02-26,L
Z008,2025-02-27,L
Z008,2025-02-28,L
Z008,2025-03-01,H
Z008,2025-03-02,L
Z008,2025-03-03,M
Z008,2025-03-04,L
Z008,2025-03-05,M
Z008,2025-03-06,M
Z008,2025-03-07,L
Z008,2025-03-08,L
Z008,2025-03-09,H
Z008,2025-03-10,L
Z008,2025-03-11,H
Z008,2025-03-12,
Z008,2025-03-13,M
Z008,2025-03-14,L
Z008,2025-03-15,L
Z008,2025-03-16,M
Z008,2025-03-17,L
Z008,2025-03-18,M
Z008,2025-03-19,M
Z008,2025-03-20,L
Z008,2025-03-21,M
Z008,2025-03-22,
Z008,2025-03-23,M
Z008,2025-03-24,M
Z008,2025-03-25,L
Z008,2025-03-26,M
Z008,2025-03-27,
Z008,2025-03-28,h
Z008,2025-03-29,M
Z008,2025-03-30,L
Z008,2025-03-31,M
Z009,2025-01-01,H
Z009,2025-01-02,H
Z009,2025-01-03,M
Z009,2025-01-04,
Z009,2025-01-05,H
Z009,2025-01-06,M
Z009,2025-01-07,L
Z009,2025-01-08,L
Z009,2025-01-09,
Z009,2025-01-10,L
Z009,2025-01-11,L
Z009,2025-01-12,L
Z009,2025-01-13,L
Z009,2025-01-14,M
Z009,2025-01-15,L
Z009,2025-01-16,L
Z009,2025-01-17,
Z009,2025-01-18,L
Z009,2025-01-19,M
Z009,2025-01-20,H
Z009,2025-01-21,M
Z009,2025-01-22,H
Z009,2025-01-23,M
Z009,2025-01-24,M
Z009,2025-01-25,L
Z009,2025-01-26,L
Z009,2025-01-27,H
Z009,2025-01-28,M
Z009,2025-01-29,M
Z009,2025-01-30,L
Z009,2025-01-31,H
Z009,2025-02-01,
Z009,2025-02-02,H
Z009,2025-02-03,M
Z009,2025-02-04,L
Z009,2025-02-05,M
Z009,2025-02-06,M
Z009,2025-02-07,M
Z009,2025-02-08,H
Z009,2025-02-09,L
Z009,2025-02-10,
Z009,2025-02-11,M
Z009,2025-02-12,L
Z009,2025-02-13,L
Z009,2025-02-14,M
Z009,2025-02-15,M
Z009,2025-02-16,L
Z009,2025-02-17,H
Z009,2025-02-18,
Z009,2025-02-19,M
Z009,2025-02-20,L
Z009,2025-02-21,M
Z009,2025-02-22,L
Z009,2025-02-23,M
Z009,2025-02-24,H
Z009,2025-02-25,L
Z009,2025-02-26,M
Z009,2025-02-27,L
Z009,2025-02-28,h
Z009,2025-03-01,H
Z009,2025-03-02,H
Z009,2025-03-03,M
Z009,2025-03-04,L
Z009,2025-03-05,H
Z009,2025-03-06,H
Z009,2025-03-07,L
Z009,2025-03-08,H
Z009,2025-03-09,L
Z009,2025-03-10,M
Z009,2025-03-11,L
Z009,2025-03-12,H
Z009,2025-03-13,L
Z009,2025-03-14,L
Z009,2025-03-15,M
Z009,2025-03-16,H
Z009,2025-03-17,M
Z009,2025-03-18,L
Z009,2025-03-19,H
Z009,2025-03-20,H
Z009,2025-03-21,M
Z009,2025-03-22,L
Z009,2025-03-23,L
Z009,2025-03-24,M
Z009,2025-03-25,L
Z009,2025-03-26,M
Z009,2025-03-27,
Z009,2025-03-28,M
Z009,2025-03-29,M
Z009,2025-03-30,H
Z009,2025-03-31,M
Z010,2025-01-01,M
Z010,2025-01-02,L
Z010,2025-01-03,H
Z010,2025-01-04,L
Z010,2025-01-05,H
Z010,2025-01-06,h
Z010,2025-01-07,M
Z010,2025-01-08,L
Z010,2025-01-09,
Z010,2025-01-10,M
Z010,2025-01-11,M
Z010,2025-01-12,M
Z010,2025-01-13,H
Z010,2025-01-14,L
Z010,2025-01-15,M
Z010,2025-01-16,L
Z010,2025-01-17,L
Z010,2025-01-18,L
Z010,2025-01-19,M
Z010,2025-01-20,L
Z010,2025-01-21,H
Z010,2025-01-22,M
Z010,2025-01-23,L
Z010,2025-01-24,L
Z010,2025-01-25,M
Z010,2025-01-26,
Z010,2025-01-27,M
Z010,2025-01-28,L
Z010,2025-01-29,M
Z010,2025-01-30,L
Z010,2025-01-31,L
Z010,2025-02-01,M
Z010,2025-02-02,L
Z010,2025-02-03,L
Z010,2025-02-04,H
Z010,2025-02-05,M
Z010,2025-02-06,L
Z010,2025-02-07,L
Z010,2025-02-08,L
Z010,2025-02-09,L
Z010,2025-02-10,M
Z010,2025-02-11,M
Z010,2025-02-12,L
Z010,2025-02-13,M
Z010,2025-02-14,H
Z010,2025-02-15,M
Z010,2025-02-16,L
Z010,2025-02-17,L
Z010,2025-02-18,M
Z010,2025-02-19,L
Z010,2025-02-20,H
Z010,2025-02-21,H
Z010,2025-02-22,M
Z010,2025-02-23,L
Z010,2025-02-24,L
Z010,2025-02-25,M
Z010,2025-02-26,L
Z010,2025-02-27,M
Z010,2025-02-28,H
Z010,2025-03-01,M
Z010,2025-03-02,L
Z010,2025-03-03,L
Z010,2025-03-04,L
Z010,2025-03-05,M
Z010,2025-03-06,H
Z010,2025-03-07,M
Z010,2025-03-08,H
Z010,2025-03-09,L
Z010,2025-03-10,H
Z010,2025-03-11,L
Z010,2025-03-12,L
Z010,2025-03-13,M
Z010,2025-03-14,L
Z010,2025-03-15,L
Z010,2025-03-16,L
Z010,2025-03-17,M
Z010,2025-03-18,M
Z010,2025-03-19,M
Z010,2025-03-20,L
Z010,2025-03-21,M
Z010,2025-03-22,L
Z010,2025-03-23,M
Z010,2025-03-24,L
Z010,2025-03-25,L
Z010,2025-03-26,H
Z010,2025-03-27,L
Z010,2025-03-28,H
Z010,2025-03-29,H
Z010,2025-03-30,H
Z010,2025-03-31,L
Z011,2025-01-01,L
Z011,2025-01-02,L
Z011,2025-01-03,L
Z011,2025-01-04,L
Z011,2025-01-05,M
Z011,2025-01-06,H
Z011,2025-01-07,M
Z011,2025-01-08,H
Z011,2025-01-09,M
Z011,2025-01-10,L
Z011,2025-01-11,M
Z011,2025-01-12,M
Z011,2025-01-13,L
Z011,2025-01-14,H
Z011,2025-01-15,L
Z011,2025-01-16,M
Z011,2025-01-17,L
Z011,2025-01-18,L
Z011,2025-01-19,L
Z011,2025-01-20,L
Z011,2025-01-21,M
Z011,2025-01-22,L
Z011,2025-01-23,L
Z011,2025-01-24,M
Z011,2025-01-25,L
Z011,2025-01-26,M
Z011,2025-01-27,M
Z011,2025-01-28,M
Z011,2025-01-29,M
Z011,2025-01-30,H
Z011,2025-01-31,H
Z011,2025-02-01,M
Z011,2025-02-02,L
Z011,2025-02-03,
Z011,2025-02-04,
Z011,2025-02-05,
Z011,2025-02-06,M
Z011,2025-02-07,
Z011,2025-02-08,L
Z011,2025-02-09,M
Z011,2025-02-10,H
Z011,2025-02-11,
Z011,2025-02-12,L
Z011,2025-02-13,L
Z011,2025-02-14,L
Z011,2025-02-15,L
Z011,2025-02-16,L
Z011,2025-02-17,M
Z011,2025-02-18,L
Z011,2025-02-19,M
Z011,2025-02-20,
Z011,2025-02-21,M
Z011,2025-02-22,H
Z011,2025-02-23,H
Z011,2025-02-24,L
Z011,2025-02-25,L
Z011,2025-02-26,
Z011,2025-02-27,L
Z011,2025-02-28,L
Z011,2025-03-01,M
Z011,2025-03-02,M
Z011,2025-03-03,
Z011,2025-03-04,M
Z011,2025-03-05,L
Z011,2025-03-06,L
Z011,2025-03-07,
Z011,2025-03-08,M
Z011,2025-03-09,L
Z011,2025-03-10,
Z011,2025-03-11,M
Z011,2025-03-12,L
Z011,2025-03-13,L
Z011,2025-03-14,H
Z011,2025-03-15,m
Z011,2025-03-16,L
Z011,2025-03-17,M
Z011,2025-03-18,M
Z011,2025-03-19,M
Z011,2025-03-20,
Z011,2025-03-21,
Z011,2025-03-22,H
Z011,2025-03-23,L
Z011,2025-03-24,L
Z011,2025-03-25,M
Z011,2025-03-26,L
Z011,2025-03-27,L
Z011,2025-03-28,L
Z011,2025-03-29,
Z011,2025-03-30,M
Z011,2025-03-31,H
Z012,2025-01-01,
Z012,2025-01-02,L
Z012,2025-01-03,H
Z012,2025-01-04,L
Z012,2025-01-05,
Z012,2025-01-06,M
Z012,2025-01-07,M
Z012,2025-01-08,L
Z012,2025-01-09,H
Z012,2025-01-10,L
Z012,2025-01-11,M
Z012,2025-01-12,L
Z012,2025-01-13,M
Z012,2025-01-14,M
Z012,2025-01-15,L
Z012,2025-01-16,L
Z012,2025-01-17,H
Z012,2025-01-18,H
Z012,2025-01-19,M
Z012,2025-01-20,H
Z012,2025-01-21,L
Z012,2025-01-22,L
Z012,2025-01-23,H
Z012,2025-01-24,M
Z012,2025-01-25,L
Z012,2025-01-26,M
Z012,2025-01-27,M
Z012,2025-01-28,L
Z012,2025-01-29,H
Z012,2025-01-30,H
Z012,2025-01-31,L
Z012,2025-02-01,L
Z012,2025-02-02,H
Z012,2025-02-03,L
Z012,2025-02-04,H
Z012,2025-02-05,M
Z012,2025-02-06,M
Z012,2025-02-07,L
Z012,2025-02-08,M
Z012,2025-02-09,m
Z012,2025-02-10,
Z012,2025-02-11,H
Z012,2025-02-12,M
Z012,2025-02-13,L
Z012,2025-02-14,L
Z012,2025-02-15,M
Z012,2025-02-16,M
Z012,2025-02-17,L
Z012,2025-02-18,M
Z012,2025-02-19,M
Z012,2025-02-20,M
Z012,2025-02-21,M
Z012,2025-02-22,L
Z012,2025-02-23,M
Z012,2025-02-24,H
Z012,2025-02-25,L
Z012,2025-02-26,L
Z012,2025-02-27,L
Z012,2025-02-28,H
Z012,2025-03-01,H
Z012,2025-03-02,M
Z012,2025-03-03,L
Z012,2025-03-04,L
Z012,2025-03-05,L
Z012,2025-03-06,L
Z012,2025-03-07,H
Z012,2025-03-08,H
Z012,2025-03-09,H
Z012,2025-03-10,M
Z012,2025-03-11,M
Z012,2025-03-12,M
Z012,2025-03-13,
Z012,2025-03-14,
Z012,2025-03-15,H
Z012,2025-03-16,L
Z012,2025-03-17,M
Z012,2025-03-18,
Z012,2025-03-19,M
Z012,2025-03-20,L
Z012,2025-03-21,M
Z012,2025-03-22,L
Z012,2025-03-23,L
Z012,2025-03-24,L
Z012,2025-03-25,
Z012,2025-03-26,M
Z012,2025-03-27,H
Z012,2025-03-28,L
Z012,2025-03-29,L
Z012,2025-03-30,L
Z012,2025-03-31,M
